round_epochs,loss,val_loss,first_layer,second_layer,third_layer,activation,epochs,batch_size,dropout
30,0.015938980504870415,0.014374742284417152,32,64,32,relu,30,128,0.1
30,0.006931209471076727,0.006928003393113613,128,128,32,relu,30,256,0
9,0.025027107447385788,0.017331784591078758,16,64,64,elu,30,64,0.5
49,0.0020945093128830194,0.002130329143255949,128,128,64,elu,100,128,0
50,0.004396805539727211,0.004412948619574308,32,64,128,elu,50,64,0
30,0.0055682361125946045,0.00556360837072134,128,32,128,relu,30,64,0
33,0.0060281106270849705,0.006037087179720402,128,32,128,relu,50,32,0
30,0.003070781473070383,0.003071296727284789,64,128,128,relu,30,64,0
10,0.018157707527279854,0.01678660698235035,16,32,64,relu,50,64,0.1
30,0.0034605839755386114,0.0034610501024872065,64,64,64,elu,30,128,0
9,0.029677100479602814,0.03067367523908615,32,128,128,relu,100,32,0.5
8,0.03263261914253235,0.03751397505402565,32,64,128,relu,30,32,0.5
80,0.004197562113404274,0.004241710063070059,32,128,32,elu,100,64,0
50,0.007451836951076984,0.007517154328525066,16,64,32,relu,50,256,0
10,0.021774249151349068,0.01661641336977482,64,64,64,elu,50,64,0.5
43,0.004534721840173006,0.004534387495368719,128,32,64,elu,100,32,0
50,0.012284778989851475,0.010145356878638268,64,64,128,relu,50,256,0.1
30,0.006585030350834131,0.006591124925762415,16,64,128,elu,30,64,0
83,0.002520727226510644,0.002539567183703184,128,64,64,elu,100,128,0
50,0.007207654882222414,0.0071953171864151955,32,32,32,relu,50,64,0
18,0.017176929861307144,0.016227513551712036,16,64,32,relu,100,64,0.1
100,0.005170099437236786,0.0051871612668037415,128,32,32,elu,100,128,0
15,0.024416498839855194,0.016803016886115074,128,32,64,elu,30,256,0.5
14,0.015592521987855434,0.015105190686881542,16,64,128,relu,30,64,0.1
7,0.031678467988967896,0.0273373294621706,16,32,32,elu,100,64,0.5
