round_epochs,loss,val_loss,first_layer,second_layer,third_layer,activation,epochs,batch_size,dropout
47,0.007833977229893208,0.007846501655876637,16,64,64,relu,100,32,0
35,0.014332394115626812,0.012891964055597782,32,64,64,relu,50,128,0.1
26,0.011346431449055672,0.008247045800089836,32,64,32,elu,100,32,0.1
86,0.006743293255567551,0.006764047313481569,16,64,64,elu,100,256,0
11,0.029714319854974747,0.02998969331383705,32,128,64,relu,100,64,0.5
91,0.009163695387542248,0.00923839583992958,16,128,32,relu,100,256,0
45,0.004526433534920216,0.004522018600255251,64,64,32,elu,100,32,0
30,0.012948805466294289,0.009523612447082996,16,128,32,elu,30,256,0.1
100,0.007622449658811092,0.007668810430914164,16,64,128,relu,100,128,0
20,0.01424155943095684,0.011010232381522655,16,32,64,elu,100,64,0.1
9,0.030091408640146255,0.032146476209163666,32,128,128,relu,100,256,0.5
22,0.03174480423331261,0.03688940033316612,32,64,64,relu,50,64,0.5
13,0.02243559993803501,0.016343649476766586,64,128,32,elu,30,256,0.5
20,0.018538597971200943,0.01660674810409546,16,32,32,relu,30,128,0.1
30,0.012145756743848324,0.009047253057360649,128,32,32,elu,30,64,0.1
50,0.01340402476489544,0.010000691749155521,16,64,32,elu,50,256,0.1
28,0.007720103021711111,0.007756369654089212,64,32,32,relu,50,64,0
14,0.03323502466082573,0.034271240234375,16,32,128,relu,50,128,0.5
27,0.011238728649914265,0.007876326330006123,16,128,64,elu,30,32,0.1
50,0.013125801458954811,0.011303245089948177,128,64,64,relu,50,128,0.1
8,0.018172776326537132,0.01712949015200138,16,32,128,relu,30,128,0.1
13,0.033272456377744675,0.037555545568466187,16,128,32,relu,30,32,0.5
65,0.011059209704399109,0.007800335064530373,16,128,64,elu,100,256,0.1
26,0.03738967329263687,0.03937537595629692,16,32,64,relu,30,256,0.5
24,0.0008559530251659453,0.0008687414228916168,128,128,128,elu,100,32,0
